,,Weights
"2,36",CIK,0.0
"2,36",NHS,0.18717
"2,36",HIO,0.05665
"2,36",MPV,0.0
"2,36",DHY,0.01508
"2,36",MCI,0.0
"2,36",AWF,0.01
"2,36",DHF,0.06083
"2,36",BGH,0.00698
"2,36",EAD,0.18125
"2,36",RA,0.00125
"2,36",KIO,0.00325
"2,36",ISD,0.04325
"2,36",VLT,0.0
"2,36",FSD,0.0
"2,36",GHY,0.0
"2,36",JLS,0.0
"2,36",IVH,0.0
"2,36",AIF,0.0
"2,36",HYB,0.06559
"2,36",EIC,0.00559
"2,35",BGIO,0.0
"2,35",JHB,0.0
"2,35",IHTA,0.0
"2,35",DMO,0.0
"2,35",HYT,0.00534
"2,35",HNW,0.0
"2,35",JHAA,0.0
"2,35",IHIT,0.0
"2,35",HIX,0.0
"2,35",EHI,0.0
"2,35",PHT,0.01
"2,35",HYI,4e-05
"2,35",OPP,4e-05
"2,35",MCR,0.0
"2,35",CIK,0.0
"2,35",NHS,0.18719
"2,35",HIO,0.06719
"2,35",MPV,0.03
"2,35",DHY,0.03019
"2,35",MCI,0.0
"2,35",AWF,0.00103
"2,35",DHF,0.0646
"2,35",BGH,0.00921
"2,35",EAD,0.11005
"2,35",RA,5e-05
"2,35",KIO,0.00105
"2,35",ISD,0.21216
"2,35",VLT,0.0
"2,35",FSD,0.07
"2,35",GHY,0.0
"2,35",JLS,0.0
"2,35",IVH,0.01
"2,35",AIF,0.04
"2,35",HYB,0.14593
"2,35",EIC,0.00593
"2,34",JHB,0.0
"2,34",IHTA,0.0
"2,34",DMO,0.0
"2,34",HYT,0.00713
"2,34",HNW,0.0
"2,34",JHAA,0.0
"2,34",IHIT,0.0
"2,34",HIX,0.0
"2,34",EHI,0.0
"2,34",PHT,0.01106
"2,34",HYI,0.00148
"2,34",OPP,0.00104
"2,34",MCR,0.0
"2,34",CIK,0.0
"2,34",NHS,0.18915
"2,34",HIO,0.06915
"2,34",MPV,0.0
"2,34",DHY,0.02706
"2,34",MCI,0.0
"2,34",AWF,0.01252
"2,34",DHF,0.08681
"2,34",BGH,0.01066
"2,34",EAD,0.11149
"2,34",RA,0.0024
"2,34",KIO,0.0044
"2,34",ISD,0.2144
"2,34",VLT,0.0
"2,34",FSD,0.07
"2,34",GHY,0.0
"2,34",JLS,0.0
"2,34",IVH,0.0
"2,34",AIF,0.0
"2,34",HYB,0.18062
"2,34",EIC,0.00062
"2,33",IHTA,0.0
"2,33",DMO,0.0
"2,33",HYT,0.00501
"2,33",HNW,0.0
"2,33",JHAA,0.0
"2,33",IHIT,0.0
"2,33",HIX,0.0
"2,33",EHI,0.0
"2,33",PHT,0.0
"2,33",HYI,0.00104
"2,33",OPP,0.00061
"2,33",MCR,0.0
"2,33",CIK,0.02
"2,33",NHS,0.19285
"2,33",HIO,0.08418
"2,33",MPV,0.0
"2,33",DHY,0.02268
"2,33",MCI,0.0008
"2,33",AWF,0.0048
"2,33",DHF,0.06838
"2,33",BGH,0.01299
"2,33",EAD,0.1351
"2,33",RA,0.0051
"2,33",KIO,0.0071
"2,33",ISD,0.20821
"2,33",VLT,0.0
"2,33",FSD,0.08
"2,33",GHY,0.0
"2,33",JLS,0.0
"2,33",IVH,0.0
"2,33",AIF,0.0
"2,33",HYB,0.15057
"2,33",EIC,0.00057
"2,32",DMO,0.0
"2,32",HYT,0.00594
"2,32",HNW,0.0
"2,32",JHAA,0.0
"2,32",IHIT,0.0
"2,32",HIX,0.0
"2,32",EHI,0.0
"2,32",PHT,0.0
