,,Weights
"2,47",DSE,0.003
"2,47",CTR,0.004
"2,47",GRF,0.044
"2,47",EMO,0.0
"2,47",SRV,0.0
"2,47",SZC,0.024
"2,47",CEN,0.066
"2,46",BME,0.0
"2,46",UTF,0.0
"2,46",ETJ,0.0
"2,46",BUI,0.0
"2,46",EOS,0.004
"2,46",RFI,0.0
"2,46",STK,0.0
"2,46",BMEZ,0.0
"2,46",EOI,0.084
"2,46",EXD,0.0
"2,46",RQI,0.0
"2,46",RNP,0.0
"2,46",BSTZ,0.0
"2,46",AIO,0.01
"2,46",CII,0.051
"2,46",BDJ,0.039
"2,46",CHN,0.0
"2,46",BGY,0.0
